num|url|title|category|data
47|site.ru/mortgage-ins-66|Страховка ипотеки|Жилье|Заплатил страховку по ипотеке, обязательная штука. Без этого банк не разрешает. Платеж раз в год.
48|site.ru/tax-67|Налог|Жилье|Оплатил налог на квартиру. Честно, не люблю такие платежи. Но деваться некуда.
49|site.ru/garage-68|Гараж|Жилье|Снял гараж и сразу оплатил месяц. Удобно хранить вещи. Да и машина в безопасности.
50|site.ru/maint-69|Обслуживание|Жилье|Заплатил управляющей компании за обслуживание. Там всякие работы по дому. Регулярный расход.
51|site.ru/windows-70|Окна|Жилье|Заказал мытье окон, оплатил услугу. Самому было лень этим заниматься. Теперь всё чисто.
52|site.ru/pest-71|Дезинфекция|Жилье|Вызвал службу от насекомых, оплатил обработку. Были проблемы, пришлось решать. Надеюсь поможет.
53|site.ru/internet-install-72|Подключение|Жилье|Заплатил за подключение интернета. Мастер пришел, всё настроил. Теперь норм работает.
54|site.ru/keys-73|Ключи|Жилье|Сделал дубликат ключей, оплатил на месте. На всякий случай. Лучше иметь запасной.
55|site.ru/clean-entrance-76|Подъезд|Жилье|Оплатил уборку подъезда через платежку. Входит в общие расходы. Вроде чисто стало.
56|site.ru/slang-95|Залог|Жилье|Отдал залог за хату, норм сумма ушла. Надеюсь потом без приколов вернут. А то всякое бывает.
57|site.ru/slang-105|Посуточно|Жилье|Снял хату на сутки, сразу оплатил. Быстро заселился, без заморочек. Удобная тема.
58|site.ru/slang-111|Дезинфекция|Жилье|Заплатил за обработку от всякой живности. Были проблемы, пришлось вызывать. Надеюсь исчезнут.
59|site.ru/slang-113|Ключи|Жилье|Сделал запасные ключи, отдал немного денег. На всякий случай пусть будут. Мало ли потеряю.
60|site.ru/house-151|Аренда квартиры|Жилье|Оплатил аренду квартиры за текущий месяц. Перевел деньги владельцу через банковское приложение. Это регулярный ежемесячный расход.
61|site.ru/house-152|Коммунальные услуги|Жилье|Заплатил за коммунальные услуги. В сумму вошли вода, электричество и отопление. Оплату произвел онлайн.
62|site.ru/house-153|Ипотека|Жилье|Внес платеж по ипотеке. Банк списал средства автоматически. Это обязательный ежемесячный платеж.
63|site.ru/house-154|Интернет|Жилье|Оплатил домашний интернет. Подключение необходимо для работы и повседневных задач. Платеж внес заранее.
64|site.ru/house-155|Вода|Жилье|Оплатил счет за воду по показаниям счетчиков. Сумма оказалась стандартной. Платеж выполнен через приложение банка.
65|site.ru/house-156|Электричество|Жилье|Заплатил за электроэнергию. В этом месяце расход был немного выше. Оплату произвел сразу после получения счета.
66|site.ru/house-157|Газ|Жилье|Оплатил услуги газоснабжения. Начисление произведено по счетчику. Платеж выполнен онлайн.
67|site.ru/house-158|Комната|Жилье|Внес оплату за аренду комнаты. Деньги передал арендодателю. Стоимость ниже, чем у квартиры.
68|site.ru/house-159|Капремонт|Жилье|Заплатил взнос на капитальный ремонт. Этот платеж начисляется ежемесячно. Средства направляются на обслуживание дома.
69|site.ru/house-160|ТСЖ|Жилье|Оплатил услуги товарищества собственников жилья. Включает уборку и содержание территории. Это регулярный расход.
70|site.ru/house-161|Парковка|Жилье|Заплатил за аренду парковочного места. Место закреплено за квартирой. Платеж производится ежемесячно.
71|site.ru/house-162|Охрана|Жилье|Оплатил услуги охраны жилого комплекса. Включает видеонаблюдение и контроль доступа. Повышает уровень безопасности.
72|site.ru/house-163|Уборка|Жилье|Заказал уборку квартиры и оплатил услугу. Работы выполнены клининговой компанией. Квартира приведена в порядок.
73|site.ru/house-164|Залог|Жилье|Внес залог за аренду квартиры. Средства будут возвращены после окончания договора. Это стандартное условие аренды.
74|site.ru/house-165|Риелтор|Жилье|Оплатил услуги риелтора. Специалист помог подобрать жилье. Комиссия оплачивается один раз.
75|site.ru/house-167|Мусор|Жилье|Оплатил вывоз мусора. Услуга входит в коммунальные платежи. Начисление производится регулярно.
76|site.ru/house-168|Домофон|Жилье|Заплатил за обслуживание домофона. Платеж небольшой, но обязательный. Устройство обеспечивает доступ в подъезд.
77|site.ru/house-169|Лифт|Жилье|Оплатил обслуживание лифта. Включено в содержание дома. Платеж начисляется ежемесячно.
78|site.ru/house-170|Двор|Жилье|Оплатил благоустройство дворовой территории. Работы включают уборку и озеленение. Это часть коммунальных услуг.
79|site.ru/house-171|Студия|Жилье|Внес оплату за аренду квартиры-студии. Жилье компактное и удобное. Платеж произведен вовремя.
80|site.ru/house-172|Хостел|Жилье|Оплатил проживание в хостеле. Это бюджетный вариант жилья. Подходит для краткосрочного размещения.
81|site.ru/house-173|Отель|Жилье|Заплатил за проживание в отеле. Номер был забронирован заранее. Платеж произведен полностью.
82|site.ru/house-174|Посуточная аренда|Жилье|Снял квартиру посуточно и оплатил проживание. Услуга оформлена через сервис. Заселение прошло без проблем.
83|site.ru/house-175|Страховка ипотеки|Жилье|Оплатил страховку по ипотечному договору. Это обязательное условие банка. Платеж производится ежегодно.
84|site.ru/house-176|Налог|Жилье|Заплатил налог на недвижимость. Сумма рассчитана по кадастровой стоимости. Платеж выполнен в срок.
85|site.ru/house-177|Гараж|Жилье|Оплатил аренду гаража. Используется для хранения автомобиля. Платеж производится ежемесячно.
86|site.ru/house-178|Обслуживание|Жилье|Заплатил управляющей компании за обслуживание дома. Включает ремонт и технические работы. Это регулярный расход.
87|site.ru/house-179|Окна|Жилье|Заказал услугу мытья окон. Оплатил работу специалистов. Квартира стала чище и светлее.
88|site.ru/house-180|Дезинфекция|Жилье|Оплатил обработку квартиры от насекомых. Работы выполнены специализированной службой. Это разовый расход.
89|site.ru/house-181|Интернет подключение|Жилье|Заплатил за подключение интернета. Мастер выполнил настройку оборудования. Услуга оказана полностью.
90|site.ru/house-184|Пени|Жилье|Заплатил пени за просрочку коммунальных платежей. Сумма небольшая. В дальнейшем буду оплачивать вовремя.
91|site.ru/house-185|Подъезд|Жилье|Оплатил уборку подъезда. Услуга входит в содержание дома. Поддерживается чистота.
92|site.ru/house-186|Снег|Жилье|Заплатил за уборку снега во дворе. Это сезонная услуга. Обеспечивает безопасное передвижение.
93|site.ru/house-187|Аренда|Жилье|Внес оплату за аренду жилья. Перевод выполнен владельцу. Это регулярный ежемесячный расход.
94|site.ru/house-188|Коммуналка|Жилье|Оплатил коммунальные счета. Включены основные услуги. Платеж выполнен через интернет-банк.
95|site.ru/house-189|Ипотека|Жилье|Внес очередной платеж по ипотеке. Средства списаны автоматически. Обязательство выполнено.
96|site.ru/house-190|Интернет|Жилье|Оплатил услуги интернета. Подключение необходимо для работы. Платеж произведен заранее.
97|site.ru/slang-144|Посуточно|Жилье|Снял хату посуточно, оплатил сразу. Быстро заселился. Удобно, когда ненадолго.
98|site.ru/home-1|Покупка стиральной машины|Быт|Приобрел стиральную машину для дома. Оплата произведена банковской картой. Это разовый крупный расход.
99|site.ru/home-2|Холодильник|Быт|Купил холодильник для кухни. Выбрал модель среднего ценового сегмента. Оплата выполнена онлайн.
100|site.ru/home-3|Пылесос|Быт|Приобрел пылесос для уборки квартиры. Устройство облегчает повседневные задачи. Оплата произведена в магазине.
101|site.ru/home-4|Микроволновая печь|Быт|Купил микроволновую печь. Устройство используется для разогрева пищи. Платеж выполнен картой.
102|site.ru/home-5|Электрический чайник|Быт|Приобрел электрический чайник. Это необходимый бытовой прибор. Оплата произведена сразу.
103|site.ru/home-6|Утюг|Быт|Купил утюг для ухода за одеждой. Устройство выбрано по характеристикам. Оплата выполнена наличными.
104|site.ru/home-7|Кондиционер|Быт|Установил кондиционер в квартире. Оплатил как устройство, так и монтаж. Это значительный расход.
105|site.ru/home-8|Обогреватель|Быт|Приобрел обогреватель для холодного сезона. Устройство используется регулярно. Оплата произведена онлайн.
106|site.ru/home-9|Посудомоечная машина|Быт|Купил посудомоечную машину. Она позволяет экономить время на уборке. Платеж выполнен через интернет.
107|site.ru/home-10|Кофемашина|Быт|Приобрел кофемашину для дома. Устройство используется ежедневно. Оплата произведена банковской картой.
108|site.ru/home-11|Фен|Быт|Купил фен для личного использования. Устройство компактное и удобное. Оплата произведена в магазине.
109|site.ru/home-12|Тостер|Быт|Приобрел тостер для кухни. Используется для приготовления завтрака. Оплата выполнена онлайн.
110|site.ru/home-13|Блендер|Быт|Купил блендер для приготовления пищи. Устройство облегчает процесс готовки. Платеж произведен картой.
111|site.ru/home-14|Мультиварка|Быт|Приобрел мультиварку. Устройство позволяет готовить различные блюда. Оплата произведена через интернет.
112|site.ru/home-15|Робот-пылесос|Быт|Купил робот-пылесос. Устройство автоматизирует уборку. Это удобное решение для дома.
113|site.ru/home-16|Очиститель воздуха|Быт|Приобрел очиститель воздуха. Устройство улучшает качество воздуха в помещении. Оплата произведена онлайн.
114|site.ru/home-17|Увлажнитель|Быт|Купил увлажнитель воздуха. Он помогает поддерживать комфортный микроклимат. Платеж выполнен картой.
115|site.ru/home-18|Электроплита|Быт|Приобрел электрическую плиту. Устройство необходимо для приготовления пищи. Оплата произведена в магазине.
116|site.ru/home-19|Духовой шкаф|Быт|Купил духовой шкаф. Устройство используется для выпечки. Платеж выполнен онлайн.
117|site.ru/home-20|Вытяжка|Быт|Приобрел кухонную вытяжку. Она улучшает вентиляцию помещения. Оплата произведена банковской картой.
118|site.ru/home-21|Освещение|Быт|Купил светильники для квартиры. Улучшил освещение в комнатах. Платеж произведен в магазине.
119|site.ru/home-22|Лампочки|Быт|Приобрел лампочки для дома. Заменил старые источники света. Оплата выполнена сразу.
120|site.ru/home-23|Электроинструменты|Быт|Купил электроинструменты для ремонта. Используются для бытовых задач. Платеж выполнен онлайн.
121|site.ru/home-24|Шуруповерт|Быт|Приобрел шуруповерт. Устройство необходимо для сборки мебели. Оплата произведена картой.
122|site.ru/home-25|Дрель|Быт|Купил дрель для дома. Используется для ремонтных работ. Оплата произведена наличными.
123|site.ru/home-26|Утюг с парогенератором|Быт|Приобрел утюг с парогенератором. Устройство улучшает качество глажки. Платеж выполнен онлайн.
124|site.ru/home-27|Сушильная машина|Быт|Купил сушильную машину. Устройство экономит время на сушке одежды. Оплата произведена картой.
125|site.ru/home-28|Хлебопечка|Быт|Приобрел хлебопечку. Используется для приготовления хлеба. Платеж выполнен в магазине.
126|site.ru/home-29|Весы|Быт|Купил кухонные весы. Устройство необходимо для точных измерений. Оплата произведена онлайн.
127|site.ru/home-30|Кулер для воды|Быт|Приобрел кулер для воды. Используется в быту ежедневно. Платеж выполнен картой.
128|site.ru/home-31|Фильтр для воды|Быт|Купил фильтр для очистки воды. Улучшает качество питьевой воды. Оплата произведена в магазине.
129|site.ru/home-32|Электробритва|Быт|Приобрел электробритву. Устройство используется регулярно. Платеж выполнен онлайн.
130|site.ru/home-33|Машинка для стрижки|Быт|Купил машинку для стрижки. Устройство используется дома. Оплата произведена картой.
131|site.ru/home-34|Вентилятор|Быт|Приобрел вентилятор. Используется в жаркое время года. Платеж выполнен онлайн.
132|site.ru/home-35|Термопот|Быт|Купил термопот для кухни. Устройство поддерживает температуру воды. Оплата произведена в магазине.
133|site.ru/home-36|Электросковорода|Быт|Приобрел электрическую сковороду. Используется для приготовления пищи. Платеж выполнен картой.
134|site.ru/home-37|Йогуртница|Быт|Купил йогуртницу. Устройство позволяет готовить домашние продукты. Оплата произведена онлайн.
135|site.ru/home-38|Пароварка|Быт|Приобрел пароварку. Используется для здорового питания. Платеж выполнен картой.
136|site.ru/home-39|Морозильник|Быт|Купил морозильную камеру. Используется для хранения продуктов. Оплата произведена в магазине.
137|site.ru/home-40|Соковыжималка|Быт|Приобрел соковыжималку. Используется для приготовления напитков. Платеж выполнен онлайн.
138|site.ru/home-41|Телевизор|Быт|Купил телевизор для дома. Устройство используется ежедневно. Оплата произведена картой.
139|site.ru/home-42|Пылесборники|Быт|Приобрел расходные материалы для пылесоса. Необходимы для работы устройства. Оплата выполнена в магазине.
140|site.ru/home-43|Чистящие средства|Быт|Купил чистящие средства для дома. Используются для уборки. Платеж выполнен онлайн.
141|site.ru/home-44|Стиральный порошок|Быт|Приобрел стиральный порошок. Используется регулярно. Оплата произведена картой.
142|site.ru/home-45|Гладильная доска|Быт|Купил гладильную доску. Используется для ухода за одеждой. Платеж выполнен в магазине.
143|site.ru/home-46|Сушилка для белья|Быт|Приобрел сушилку для белья. Используется в повседневной жизни. Оплата произведена онлайн.
144|site.ru/home-47|Контейнеры|Быт|Купил контейнеры для хранения. Используются на кухне. Платеж выполнен картой.
145|site.ru/home-48|Посуда|Быт|Приобрел набор посуды. Используется ежедневно. Оплата произведена в магазине.
146|site.ru/home-49|Швабра|Быт|Купил швабру для уборки. Используется регулярно. Платеж выполнен онлайн.
147|site.ru/home-50|Ведро|Быт|Приобрел ведро для уборки. Используется в бытовых целях. Оплата произведена картой.
148|site.ru/home-51|Жидкое мыло|Быт|Приобрел жидкое мыло для ежедневного использования. Средство используется для поддержания гигиены. Оплата произведена в магазине.
149|site.ru/home-52|Твердое мыло|Быт|Купил твердое мыло для дома. Используется для мытья рук. Платеж выполнен наличными.
150|site.ru/home-53|Средство для мытья посуды|Быт|Приобрел средство для мытья посуды. Используется ежедневно на кухне. Оплата произведена картой.
151|site.ru/home-54|Чистящее средство для ванной|Быт|Купил средство для чистки ванной комнаты. Используется для удаления налета. Платеж выполнен онлайн.
152|site.ru/home-55|Средство для туалета|Быт|Приобрел средство для очистки унитаза. Используется для поддержания чистоты. Оплата произведена в магазине.
153|site.ru/home-56|Обезжириватель|Быт|Купил обезжириватель для кухни. Используется для удаления жира с поверхностей. Платеж выполнен картой.
154|site.ru/home-57|Губки|Быт|Приобрел губки для мытья посуды. Используются регулярно. Оплата произведена сразу.
155|site.ru/home-58|Тряпки для уборки|Быт|Купил тряпки для уборки. Используются для различных поверхностей. Платеж выполнен в магазине.
156|site.ru/home-59|Салфетки|Быт|Приобрел салфетки для дома. Используются для уборки и гигиены. Оплата произведена картой.
157|site.ru/home-60|Бумажные полотенца|Быт|Купил бумажные полотенца. Используются на кухне. Платеж выполнен онлайн.
158|site.ru/home-61|Туалетная бумага|Быт|Приобрел туалетную бумагу. Это регулярный расход. Оплата произведена в магазине.
159|site.ru/home-62|Освежитель воздуха|Быт|Купил освежитель воздуха. Используется для устранения запахов. Платеж выполнен картой.
160|site.ru/home-63|Средство для стекол|Быт|Приобрел средство для мытья стекол. Используется для окон и зеркал. Оплата произведена онлайн.
161|site.ru/home-64|Стиральный порошок|Быт|Купил стиральный порошок. Используется регулярно для стирки. Платеж выполнен в магазине.
162|site.ru/home-65|Кондиционер для белья|Быт|Приобрел кондиционер для белья. Используется при стирке. Оплата произведена картой.
163|site.ru/home-66|Капсулы для стирки|Быт|Купил капсулы для стирки. Это удобный формат моющего средства. Платеж выполнен онлайн.
164|site.ru/home-67|Отбеливатель|Быт|Приобрел отбеливатель для одежды. Используется для удаления пятен. Оплата произведена в магазине.
165|site.ru/home-68|Пятновыводитель|Быт|Купил пятновыводитель. Средство помогает удалять сложные загрязнения. Платеж выполнен картой.
166|site.ru/home-69|Средство для пола|Быт|Приобрел средство для мытья пола. Используется регулярно. Оплата произведена онлайн.
167|site.ru/home-70|Антисептик|Быт|Купил антисептик для рук. Используется для гигиены. Платеж выполнен в магазине.
168|site.ru/home-71|Перчатки|Быт|Приобрел хозяйственные перчатки. Используются при уборке. Оплата произведена картой.
169|site.ru/home-72|Мешки для мусора|Быт|Купил мешки для мусора. Используются ежедневно. Платеж выполнен онлайн.
170|site.ru/home-73|Щетка|Быт|Приобрел щетку для уборки. Используется для чистки поверхностей. Оплата произведена в магазине.
171|site.ru/home-74|Средство от накипи|Быт|Купил средство от накипи. Используется для бытовой техники. Платеж выполнен картой.
172|site.ru/home-75|Средство для плиты|Быт|Приобрел средство для чистки плиты. Используется для удаления загрязнений. Оплата произведена онлайн.
173|site.ru/home-76|Средство для духовки|Быт|Купил средство для очистки духовки. Используется при генеральной уборке. Платеж выполнен в магазине.
174|site.ru/home-77|Спрей для кухни|Быт|Приобрел универсальный спрей для кухни. Используется для различных поверхностей. Оплата произведена картой.
175|site.ru/home-78|Спрей для ванной|Быт|Купил средство для ванной комнаты. Используется для удаления налета. Платеж выполнен онлайн.
176|site.ru/home-79|Таблетки для посудомойки|Быт|Приобрел таблетки для посудомоечной машины. Используются регулярно. Оплата произведена в магазине.
177|site.ru/home-80|Соль для посудомойки|Быт|Купил соль для посудомоечной машины. Необходима для работы устройства. Платеж выполнен картой.
178|site.ru/home-81|Ополаскиватель|Быт|Приобрел ополаскиватель для посудомойки. Улучшает результат мытья. Оплата произведена онлайн.
179|site.ru/home-82|Средство от запаха|Быт|Купил средство для устранения запахов. Используется в бытовых условиях. Платеж выполнен в магазине.
180|site.ru/home-83|Полироль|Быт|Приобрел полироль для мебели. Используется для ухода за поверхностями. Оплата произведена картой.
181|site.ru/home-84|Средство для ковров|Быт|Купил средство для чистки ковров. Используется при уборке. Платеж выполнен онлайн.
182|site.ru/home-85|Спрей от пыли|Быт|Приобрел средство от пыли. Используется для мебели. Оплата произведена в магазине.
183|site.ru/home-86|Средство от плесени|Быт|Купил средство от плесени. Используется в ванной комнате. Платеж выполнен картой.
184|site.ru/home-87|Освежающие блоки|Быт|Приобрел освежающие блоки для унитаза. Используются регулярно. Оплата произведена онлайн.
185|site.ru/home-88|Аромадиффузор|Быт|Купил ароматический диффузор. Используется для создания запаха в помещении. Платеж выполнен в магазине.
186|site.ru/home-89|Влажные салфетки|Быт|Приобрел влажные салфетки. Используются для гигиены и уборки. Оплата произведена картой.
187|site.ru/home-90|Бумажные салфетки|Быт|Купил бумажные салфетки. Используются ежедневно. Платеж выполнен онлайн.
188|site.ru/home-91|Средство для мебели|Быт|Приобрел средство для ухода за мебелью. Используется регулярно. Оплата произведена в магазине.
189|site.ru/home-92|Дезинфицирующее средство|Быт|Купил дезинфицирующее средство. Используется для обработки поверхностей. Платеж выполнен картой.
190|site.ru/home-93|Гель для стирки|Быт|Приобрел гель для стирки. Используется вместо порошка. Оплата произведена онлайн.
191|site.ru/home-94|Ароматизатор|Быт|Купил ароматизатор для дома. Используется для создания приятного запаха. Платеж выполнен в магазине.
192|site.ru/home-95|Щетки для посуды|Быт|Приобрел щетки для мытья посуды. Используются регулярно. Оплата произведена картой.
193|site.ru/home-96|Скребок|Быт|Купил скребок для чистки поверхностей. Используется при уборке. Платеж выполнен онлайн.
194|site.ru/home-97|Перчатки одноразовые|Быт|Приобрел одноразовые перчатки. Используются для уборки. Оплата произведена в магазине.
195|site.ru/home-98|Средство для зеркал|Быт|Купил средство для зеркал. Используется для чистки. Платеж выполнен картой.
196|site.ru/home-99|Таблетки от запаха|Быт|Приобрел таблетки для устранения запахов. Используются в бытовых условиях. Оплата произведена онлайн.
197|site.ru/home-100|Средство для сантехники|Быт|Купил средство для сантехники. Используется для очистки поверхностей. Платеж выполнен в магазине.
